,Unnamed: 0,product_name,max_capacity,link,type,format,interface,released,released_normalized,max_capacity_GB,controller,dram,Interface,Type,Technology,Read Time (tR),Program Time (tProg),Die Read Speed,Die Write Speed,Sequential Read,Sequential Write,Random Read,Random Write
0,0,Intel DC P3700 ,400 GB,https://www.techpowerup.com/ssd-specs/intel-dc-p3700-400-gb.d1915,MLC,Add-In Card,PCIe 3.0 x4,14-Jun,6/1/2014,400,CH29AE41AB0,Unknown,PCIe 3.0 x4,MLC,Planar,100 µs,1300 µs,NotFound,NotFound,"2,700 MB/s","1,080 MB/s","450,000 IOPS","75,000 IOPS"
1,1,Samsung 845DC Pro ,800 GB,https://www.techpowerup.com/ssd-specs/samsung-845dc-pro-800-gb.d1757,MLC,"2.5""",SATA 6 Gbps,14-Jun,6/1/2014,800,Samsung MDX,1024 MB,SATA 6 Gbps,MLC,24-layer,NotFound,330 µs,NotFound,50 MB/s,530 MB/s,460 MB/s,"92,000 IOPS","51,000 IOPS"
2,2,Intel S3700 ,800 GB,https://www.techpowerup.com/ssd-specs/intel-s3700-800-gb.d1873,MLC,"2.5""",SATA 6 Gbps,15-Jan,1/1/2015,800,PC29AS21CA0,1024 MB,SATA 6 Gbps,MLC,Planar,50 µs,1300 µs,320 MB/s,12 MB/s,500 MB/s,460 MB/s,"75,000 IOPS","36,000 IOPS"
3,3,SK Hynix SC3010 ,960 GB,https://www.techpowerup.com/ssd-specs/sk-hynix-sc3010-960-gb.d1737,MLC,"2.5""",SATA 6 Gbps,16-Jun,6/1/2016,960,SH87810AA,Unknown,SATA 6 Gbps,MLC,Planar,75 µs,1500 µs,426 MB/s,21 MB/s,560 MB/s,490 MB/s,"98,000 IOPS",Unknown
4,4,Micron 9100 Max ,2.3 TB,https://www.techpowerup.com/ssd-specs/micron-9100-max-1-2-tb.d1825,MLC,U.2,PCIe 3.0 x4,17-Jul,7/1/2017,2300,89HF16P04CG3,2304 MB,PCIe 3.0 x4,MLC,Planar,115 µs,1600 µs,278 MB/s,20 MB/s,"2,900 MB/s","1,300 MB/s","700,000 IOPS","210,000 IOPS"
5,5,Micron 9100 Pro ,3 TB,https://www.techpowerup.com/ssd-specs/micron-9100-pro-800-gb.d1826,MLC,U.2,PCIe 3.0 x4,17-Jul,7/1/2017,3000,89HF16P04CG3,4608 MB,PCIe 3.0 x4,MLC,Planar,115 µs,1600 µs,278 MB/s,20 MB/s,"2,050 MB/s",690 MB/s,"525,000 IOPS","50,000 IOPS"
6,6,Samsung PM883 ,7.5 TB,https://www.techpowerup.com/ssd-specs/samsung-pm883-960-gb.d1622,TLC,"2.5""",SATA 6 Gbps,18-Jan,1/1/2018,7500,Samsung MJX Maru,1024 MB,SATA 6 Gbps,TLC,64-layer,45 µs,700 µs,NotFound,NotFound,550 MB/s,520 MB/s,"98,000 IOPS","25,000 IOPS"
7,7,Samsung 883 DCT ,3.8 TB,https://www.techpowerup.com/ssd-specs/samsung-883-dct-960-gb.d1266,TLC,"2.5""",SATA 6 Gbps,18-Apr,4/1/2018,3800,Samsung MJX Maru,1024 MB,SATA 6 Gbps,TLC,64-layer,45 µs,700 µs,NotFound,NotFound,550 MB/s,520 MB/s,"98,000 IOPS","25,000 IOPS"
8,8,Samsung SM883 ,3.8 TB,https://www.techpowerup.com/ssd-specs/samsung-sm883-960-gb.d1451,MLC,"2.5""",SATA 6 Gbps,18-Apr,4/1/2018,3800,Samsung MJX Maru,1024 MB,SATA 6 Gbps,MLC,64-layer,NotFound,NotFound,NotFound,NotFound,540 MB/s,520 MB/s,"97,000 IOPS","29,000 IOPS"
9,9,Micron 5200 Max ,1.9 TB,https://www.techpowerup.com/ssd-specs/micron-5200-max-960-gb.d1840,TLC,"2.5""",SATA 6 Gbps,18-May,5/1/2018,1900,88SS1074,1024 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
10,10,Micron 5210 ION ,7.5 TB,https://www.techpowerup.com/ssd-specs/micron-5210-ion-960-gb.d1348,QLC,"2.5""",SATA 6 Gbps,18-May,5/1/2018,7500,88SS1074,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
11,11,Samsung PM1725A ,6 TB,https://www.techpowerup.com/ssd-specs/samsung-pm1725a-1-6-tb.d1699,MLC,Add-In Card,PCIe 3.0 x8,2018,7/2/2018,6000,EPIC,2048 MB,PCIe 3.0 x8,MLC,48-layer,NotFound,NotFound,NotFound,NotFound,"6,200 MB/s","2,600 MB/s","1,000,000 IOPS","180,000 IOPS"
